SENSACIONAL VILABARCA RIGS,,,,LINKS,,,RIG,,,CONCEPT,,,,MODEL SHEET,EXTRAS,,
EPS,NOME,PERSONAGEM,ID,LINK RIG,SYNC SKETCH,LINKS CONCEPT,RESPONSÁVEL,STATUS RIG,ENTREGA,RESPONSÁVEL CONCEPT,RESPONSÁVEL VETORIZAÇÃO,STATUS CONCEPT,ENTREGA,MODEL SHEET,COMENTÁRIOS,REVISÕES CONCEPT,REVISÕES RIG
101,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
101,PEPE PESCADOR,,SVB_RIG_PEPE_PESCADOR,,https://syncsketch.com/sketch/a3jqV1ghfpi0/ ,https://drive.google.com/file/d/1jRh9S_xbXn7rH0qfg4ekmSDAy7Rp64dX/view,GENIS,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,12/06/2025,,"senhor pescador com caniço de pesca, 
 chapéu e mastigando tabaco.",,
101,TIA REBIMBOCA,,SVB_RIG_TIA_REBIMBOCA,https://drive.google.com/file/d/1zrMnDFX8MSJxFAvHf3kJIJgDzMi7-epP/view?usp=drive_link,,SVB_PER_REBIMBOCA_TURN-3.jpg,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
101,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
101,,,SVB_RIG_CAMARAO_FILOSOFICO,,,,,,,,,,,,,,
102,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
102,CARIBÉ MINI,,SVB_RIG_CARIBE MINI,https://drive.google.com/file/d/1dtWfgcJdzw6MDVPTTUGw_tg99ERBSsAp/view?usp=drive_link,,,TONTON,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
102,COBRINHA,,SVB_RIG_COBRINHA,https://drive.google.com/file/d/1dFutEAeyW5nEnv37IC-43v5mI4fFFnmI/view?usp=drive_link,https://syncsketch.com/sketch/C9TIzFeeFl29/ ,,,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
102,MISURA a,,SVB_RIG_MISURA_a.tpl,https://drive.google.com/file/d/1RewQtah_401SP51VqEWl3Nsqy77g00M0/view?usp=drive_link,,,OTONIEL,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
